PadID	Sector	Row  PadInRow     gCenX       gCenZ       gx[0]       gz[0]       gx[1]       gz[1]       gx[2]       gz[2]       gx[3]       gz[3]       lCenX       lCenZ       lx[0]       lz[0]       lx[1]       lz[1]       lx[2]       lz[2]       lx[3]       lz[3]
0	0	0         0      10.715     -24.535          10         -25       11.43      -23.57       11.43    -24.1034          10    -25.4666      24.535      10.715          25          10       23.57       11.43     24.1034       11.43     25.4666          10
1	0	0         1      10.715     -25.035          10    -25.4666       11.43    -24.1034       11.43    -24.6367          10    -25.9333      25.035      10.715     25.4666          10     24.1034       11.43     24.6367       11.43     25.9333          10
2	0	0         2      10.715     -25.535          10    -25.9333       11.43    -24.6367       11.43    -25.1701          10    -26.3999      25.535      10.715     25.9333          10     24.6367       11.43     25.1701       11.43     26.3999          10
3	0	0         3      10.715     -26.035          10    -26.3999       11.43    -25.1701       11.43    -25.7035          10    -26.8665      26.035      10.715     26.3999          10     25.1701       11.43     25.7035       11.43     26.8665          10
4	0	0         4      10.715     -26.535          10    -26.8665       11.43    -25.7035       11.43    -26.2368          10    -27.3332      26.535      10.715     26.8665          10     25.7035       11.43     26.2368       11.43     27.3332          10
5	0	0         5      10.715     -27.035          10    -27.3332       11.43    -26.2368       11.43    -26.7702          10    -27.7998      27.035      10.715     27.3332          10     26.2368       11.43     26.7702       11.43     27.7998          10
6	0	0         6      10.715     -27.535          10    -27.7998       11.43    -26.7702       11.43    -27.3036          10    -28.2664      27.535      10.715     27.7998          10     26.7702       11.43     27.3036       11.43     28.2664          10
7	0	0         7      10.715     -28.035          10    -28.2664       11.43    -27.3036       11.43    -27.8369          10    -28.7331      28.035      10.715     28.2664          10     27.3036       11.43     27.8369       11.43     28.7331          10
8	0	0         8      10.715     -28.535          10    -28.7331       11.43    -27.8369       11.43    -28.3703          10    -29.1997      28.535      10.715     28.7331          10     27.8369       11.43     28.3703       11.43     29.1997          10
9	0	0         9      10.715     -29.035          10    -29.1997       11.43    -28.3703       11.43    -28.9036          10    -29.6664      29.035      10.715     29.1997          10     28.3703       11.43     28.9036       11.43     29.6664          10
10	0	0        10      10.715     -29.535          10    -29.6664       11.43    -28.9036       11.43     -29.437          10     -30.133      29.535      10.715     29.6664          10     28.9036       11.43      29.437       11.43      30.133          10
11	0	0        11      10.715     -30.035          10     -30.133       11.43     -29.437       11.43    -29.9704          10    -30.5996      30.035      10.715      30.133          10      29.437       11.43     29.9704       11.43     30.5996          10
12	0	0        12      10.715     -30.535          10    -30.5996       11.43    -29.9704       11.43    -30.5037          10    -31.0663      30.535      10.715     30.5996          10     29.9704       11.43     30.5037       11.43     31.0663          10
13	0	0        13      10.715     -31.035          10    -31.0663       11.43    -30.5037       11.43    -31.0371          10    -31.5329      31.035      10.715     31.0663          10     30.5037       11.43     31.0371       11.43     31.5329          10
14	0	0        14      10.715     -31.535          10    -31.5329       11.43    -31.0371       11.43    -31.5705          10    -31.9995      31.535      10.715     31.5329          10     31.0371       11.43     31.5705       11.43     31.9995          10
15	0	0        15      10.715     -32.035          10    -31.9995       11.43    -31.5705       11.43    -32.1038          10    -32.4662      32.035      10.715     31.9995          10     31.5705       11.43     32.1038       11.43     32.4662          10
16	0	0        16      10.715     -32.535          10    -32.4662       11.43    -32.1038       11.43    -32.6372          10    -32.9328      32.535      10.715     32.4662          10     32.1038       11.43     32.6372       11.43     32.9328          10
17	0	0        17      10.715     -33.035          10    -32.9328       11.43    -32.6372       11.43    -33.1706          10    -33.3994      33.035      10.715     32.9328          10     32.6372       11.43     33.1706       11.43     33.3994          10
18	0	0        18      10.715     -33.535          10    -33.3994       11.43    -33.1706       11.43    -33.7039          10    -33.8661      33.535      10.715     33.3994          10     33.1706       11.43     33.7039       11.43     33.8661          10
